[36m 
############################### DATA ACQUISITION ############################### [39m
Data has been correctly loaded from ../../config/files/dataset_paths.yaml file
Data has been correctly loaded from ../../config/files/json_paths.yaml file
Data has been correctly loaded from ../../json_dir/indexes/methylation_names.json file
Data has been correctly loaded from ../../data/datasets/methylation_and_overall_survival_dataset.csv file
[36m 
################### EXPLORATORY DATA ANALYSIS with RAW DATA #################### [39m
[36m 
############################ FEATURES PREPROCESSING ############################ [39m
ADMITTED SAMPLES VALUES:
	--> 33 samples with a label lower than 1000
	--> 47 samples with a label bigger than 3000
[36m 
############################## FEATURE SELECTION ############################### [39m
PRINCIPAL COMPONENT ANALYSIS:
	--> New Feature Space Dimension: 80
CORRELATION FILTER:
	--> New Feature Space Dimension: 10
[36m 
############################## DATASET SPLITTING ############################### [39m
DIMENSIONS:
	--> Training Set: 64
	--> Testing Set: 16
[36m 
############################### SKLEARN TO TORCH ############################### [39m
Hidden Size: [10], Learning Rate: 0.01, Batch Size: 4, Alpha: 0.01, Mean Accuracy: 0.5128
Hidden Size: [10], Learning Rate: 0.001, Batch Size: 32, Alpha: 0.005, Mean Accuracy: 0.5936
Hidden Size: [10], Learning Rate: 0.001, Batch Size: 32, Alpha: 0.001, Mean Accuracy: 0.4090
Hidden Size: [10], Learning Rate: 0.001, Batch Size: 32, Alpha: 0.0001, Mean Accuracy: 0.5756
Hidden Size: [10], Learning Rate: 0.001, Batch Size: 64, Alpha: 0.01, Mean Accuracy: 0.5603
Hidden Size: [10], Learning Rate: 0.001, Batch Size: 64, Alpha: 0.005, Mean Accuracy: 0.5628
Hidden Size: [10], Learning Rate: 0.001, Batch Size: 64, Alpha: 0.001, Mean Accuracy: 0.4859
Hidden Size: [10], Learning Rate: 0.001, Batch Size: 64, Alpha: 0.0001, Mean Accuracy: 0.5013
Hidden Size: [10], Learning Rate: 0.0001, Batch Size: 4, Alpha: 0.01, Mean Accuracy: 0.5026
Hidden Size: [10], Learning Rate: 0.0001, Batch Size: 4, Alpha: 0.005, Mean Accuracy: 0.4218
Hidden Size: [10], Learning Rate: 0.0001, Batch Size: 4, Alpha: 0.001, Mean Accuracy: 0.5038
Hidden Size: [10], Learning Rate: 0.0001, Batch Size: 4, Alpha: 0.0001, Mean Accuracy: 0.4641
Hidden Size: [10], Learning Rate: 0.0001, Batch Size: 8, Alpha: 0.01, Mean Accuracy: 0.5167
Hidden Size: [10], Learning Rate: 0.0001, Batch Size: 8, Alpha: 0.005, Mean Accuracy: 0.4974
Hidden Size: [10], Learning Rate: 0.0001, Batch Size: 8, Alpha: 0.001, Mean Accuracy: 0.4500
Hidden Size: [10], Learning Rate: 0.0001, Batch Size: 8, Alpha: 0.0001, Mean Accuracy: 0.4526
Hidden Size: [10], Learning Rate: 0.0001, Batch Size: 16, Alpha: 0.01, Mean Accuracy: 0.4038
Hidden Size: [10], Learning Rate: 0.0001, Batch Size: 16, Alpha: 0.005, Mean Accuracy: 0.5628
Hidden Size: [10], Learning Rate: 0.0001, Batch Size: 16, Alpha: 0.001, Mean Accuracy: 0.3436
Hidden Size: [10], Learning Rate: 0.0001, Batch Size: 16, Alpha: 0.0001, Mean Accuracy: 0.5462
Hidden Size: [10], Learning Rate: 0.0001, Batch Size: 32, Alpha: 0.01, Mean Accuracy: 0.5628
Hidden Size: [10], Learning Rate: 0.0001, Batch Size: 32, Alpha: 0.005, Mean Accuracy: 0.4551
Hidden Size: [10], Learning Rate: 0.0001, Batch Size: 32, Alpha: 0.001, Mean Accuracy: 0.4372
Hidden Size: [10], Learning Rate: 0.0001, Batch Size: 32, Alpha: 0.0001, Mean Accuracy: 0.5641
Hidden Size: [10], Learning Rate: 0.0001, Batch Size: 64, Alpha: 0.01, Mean Accuracy: 0.4962
Hidden Size: [10], Learning Rate: 0.0001, Batch Size: 64, Alpha: 0.005, Mean Accuracy: 0.5000
Hidden Size: [10], Learning Rate: 0.0001, Batch Size: 64, Alpha: 0.001, Mean Accuracy: 0.5179
Hidden Size: [10], Learning Rate: 0.0001, Batch Size: 64, Alpha: 0.0001, Mean Accuracy: 0.5321
Hidden Size: [5], Learning Rate: 0.01, Batch Size: 4, Alpha: 0.01, Mean Accuracy: 0.5167
Hidden Size: [5], Learning Rate: 0.01, Batch Size: 4, Alpha: 0.005, Mean Accuracy: 0.4679
Hidden Size: [5], Learning Rate: 0.01, Batch Size: 4, Alpha: 0.001, Mean Accuracy: 0.5308
Hidden Size: [5], Learning Rate: 0.01, Batch Size: 4, Alpha: 0.0001, Mean Accuracy: 0.5013
Hidden Size: [5], Learning Rate: 0.01, Batch Size: 8, Alpha: 0.01, Mean Accuracy: 0.4692
Hidden Size: [5], Learning Rate: 0.01, Batch Size: 8, Alpha: 0.005, Mean Accuracy: 0.5115
Hidden Size: [5], Learning Rate: 0.01, Batch Size: 8, Alpha: 0.001, Mean Accuracy: 0.5026
Hidden Size: [5], Learning Rate: 0.01, Batch Size: 8, Alpha: 0.0001, Mean Accuracy: 0.4846
Hidden Size: [5], Learning Rate: 0.01, Batch Size: 16, Alpha: 0.01, Mean Accuracy: 0.4692
Hidden Size: [5], Learning Rate: 0.01, Batch Size: 16, Alpha: 0.005, Mean Accuracy: 0.4833
Hidden Size: [5], Learning Rate: 0.01, Batch Size: 16, Alpha: 0.001, Mean Accuracy: 0.5154
Hidden Size: [5], Learning Rate: 0.01, Batch Size: 16, Alpha: 0.0001, Mean Accuracy: 0.6256
Hidden Size: [5], Learning Rate: 0.01, Batch Size: 32, Alpha: 0.01, Mean Accuracy: 0.5179
Hidden Size: [5], Learning Rate: 0.01, Batch Size: 32, Alpha: 0.005, Mean Accuracy: 0.4654
Hidden Size: [5], Learning Rate: 0.01, Batch Size: 32, Alpha: 0.001, Mean Accuracy: 0.4705
Hidden Size: [5], Learning Rate: 0.01, Batch Size: 32, Alpha: 0.0001, Mean Accuracy: 0.5333
Hidden Size: [5], Learning Rate: 0.01, Batch Size: 64, Alpha: 0.01, Mean Accuracy: 0.4705
Hidden Size: [5], Learning Rate: 0.01, Batch Size: 64, Alpha: 0.005, Mean Accuracy: 0.5795
Hidden Size: [5], Learning Rate: 0.01, Batch Size: 64, Alpha: 0.001, Mean Accuracy: 0.5782
Hidden Size: [5], Learning Rate: 0.01, Batch Size: 64, Alpha: 0.0001, Mean Accuracy: 0.7026
Hidden Size: [5], Learning Rate: 0.001, Batch Size: 4, Alpha: 0.01, Mean Accuracy: 0.5628
Hidden Size: [5], Learning Rate: 0.001, Batch Size: 4, Alpha: 0.005, Mean Accuracy: 0.5795
Hidden Size: [5], Learning Rate: 0.001, Batch Size: 4, Alpha: 0.001, Mean Accuracy: 0.5603
Hidden Size: [5], Learning Rate: 0.001, Batch Size: 4, Alpha: 0.0001, Mean Accuracy: 0.5756
Hidden Size: [5], Learning Rate: 0.001, Batch Size: 8, Alpha: 0.01, Mean Accuracy: 0.5667
Hidden Size: [5], Learning Rate: 0.001, Batch Size: 8, Alpha: 0.005, Mean Accuracy: 0.4692
Hidden Size: [5], Learning Rate: 0.001, Batch Size: 8, Alpha: 0.001, Mean Accuracy: 0.5474
Hidden Size: [5], Learning Rate: 0.001, Batch Size: 8, Alpha: 0.0001, Mean Accuracy: 0.4538
Hidden Size: [5], Learning Rate: 0.001, Batch Size: 16, Alpha: 0.01, Mean Accuracy: 0.4705
Hidden Size: [5], Learning Rate: 0.001, Batch Size: 16, Alpha: 0.005, Mean Accuracy: 0.4949
Hidden Size: [5], Learning Rate: 0.001, Batch Size: 16, Alpha: 0.001, Mean Accuracy: 0.5013
Hidden Size: [5], Learning Rate: 0.001, Batch Size: 16, Alpha: 0.0001, Mean Accuracy: 0.4231
Hidden Size: [5], Learning Rate: 0.001, Batch Size: 32, Alpha: 0.01, Mean Accuracy: 0.5744
Hidden Size: [5], Learning Rate: 0.001, Batch Size: 32, Alpha: 0.005, Mean Accuracy: 0.5474
Hidden Size: [5], Learning Rate: 0.001, Batch Size: 32, Alpha: 0.001, Mean Accuracy: 0.5013
Hidden Size: [5], Learning Rate: 0.001, Batch Size: 32, Alpha: 0.0001, Mean Accuracy: 0.5179
Hidden Size: [5], Learning Rate: 0.001, Batch Size: 64, Alpha: 0.01, Mean Accuracy: 0.4987
Hidden Size: [5], Learning Rate: 0.001, Batch Size: 64, Alpha: 0.005, Mean Accuracy: 0.4833
Hidden Size: [5], Learning Rate: 0.001, Batch Size: 64, Alpha: 0.001, Mean Accuracy: 0.4551
Hidden Size: [5], Learning Rate: 0.001, Batch Size: 64, Alpha: 0.0001, Mean Accuracy: 0.5474
Hidden Size: [5], Learning Rate: 0.0001, Batch Size: 4, Alpha: 0.01, Mean Accuracy: 0.5295
Hidden Size: [5], Learning Rate: 0.0001, Batch Size: 4, Alpha: 0.005, Mean Accuracy: 0.5449
Hidden Size: [5], Learning Rate: 0.0001, Batch Size: 4, Alpha: 0.001, Mean Accuracy: 0.4859
Hidden Size: [5], Learning Rate: 0.0001, Batch Size: 4, Alpha: 0.0001, Mean Accuracy: 0.5154
Hidden Size: [5], Learning Rate: 0.0001, Batch Size: 8, Alpha: 0.01, Mean Accuracy: 0.4692
Hidden Size: [5], Learning Rate: 0.0001, Batch Size: 8, Alpha: 0.005, Mean Accuracy: 0.5756
Hidden Size: [5], Learning Rate: 0.0001, Batch Size: 8, Alpha: 0.001, Mean Accuracy: 0.6115
Hidden Size: [5], Learning Rate: 0.0001, Batch Size: 8, Alpha: 0.0001, Mean Accuracy: 0.4513
Hidden Size: [5], Learning Rate: 0.0001, Batch Size: 16, Alpha: 0.01, Mean Accuracy: 0.5782
Hidden Size: [5], Learning Rate: 0.0001, Batch Size: 16, Alpha: 0.005, Mean Accuracy: 0.5295
Hidden Size: [5], Learning Rate: 0.0001, Batch Size: 16, Alpha: 0.001, Mean Accuracy: 0.5154
Hidden Size: [5], Learning Rate: 0.0001, Batch Size: 16, Alpha: 0.0001, Mean Accuracy: 0.4231
Hidden Size: [5], Learning Rate: 0.0001, Batch Size: 32, Alpha: 0.01, Mean Accuracy: 0.4872
Hidden Size: [5], Learning Rate: 0.0001, Batch Size: 32, Alpha: 0.005, Mean Accuracy: 0.4987
Hidden Size: [5], Learning Rate: 0.0001, Batch Size: 32, Alpha: 0.001, Mean Accuracy: 0.5487
Hidden Size: [5], Learning Rate: 0.0001, Batch Size: 32, Alpha: 0.0001, Mean Accuracy: 0.5308
Hidden Size: [5], Learning Rate: 0.0001, Batch Size: 64, Alpha: 0.01, Mean Accuracy: 0.4551
Hidden Size: [5], Learning Rate: 0.0001, Batch Size: 64, Alpha: 0.005, Mean Accuracy: 0.4218
Hidden Size: [5], Learning Rate: 0.0001, Batch Size: 64, Alpha: 0.001, Mean Accuracy: 0.4692
Hidden Size: [5], Learning Rate: 0.0001, Batch Size: 64, Alpha: 0.0001, Mean Accuracy: 0.4654

Migliori parametri trovati:
{'hidden_sizes': [5], 'learning_rate': 0.01, 'batch_size': 64, 'alpha': 0.0001}
Migliore accuratezza media: 0.7026

Addestramento del modello con i migliori parametri trovati...
Epoch [1/100], Loss: 7.0163, Validation Loss: 4.1627650261
Epoch [2/100], Loss: 5.8232, Validation Loss: 3.7067847252
Epoch [3/100], Loss: 4.6806, Validation Loss: 3.1546304226
Epoch [4/100], Loss: 3.5866, Validation Loss: 3.1113250256
Epoch [5/100], Loss: 3.4773, Validation Loss: 3.0669362545
Epoch [6/100], Loss: 3.3689, Validation Loss: 3.0221402645
Epoch [7/100], Loss: 3.2611, Validation Loss: 3.0176479816
Epoch [8/100], Loss: 3.2503, Validation Loss: 3.0131225586
Epoch [9/100], Loss: 3.2395, Validation Loss: 3.0085709095
Epoch [10/100], Loss: 3.2288, Validation Loss: 3.0081136227
Epoch [11/100], Loss: 3.2277, Validation Loss: 3.0076537132
Epoch [12/100], Loss: 3.2266, Validation Loss: 3.0071921349
Epoch [13/100], Loss: 3.2255, Validation Loss: 3.0071456432
Epoch [14/100], Loss: 3.2254, Validation Loss: 3.0070991516
Epoch [15/100], Loss: 3.2253, Validation Loss: 3.0070524216
Epoch [16/100], Loss: 3.2252, Validation Loss: 3.0070481300
Epoch [17/100], Loss: 3.2252, Validation Loss: 3.0070436001
Epoch [18/100], Loss: 3.2252, Validation Loss: 3.0070388317
Epoch [19/100], Loss: 3.2252, Validation Loss: 3.0070383549
Epoch [20/100], Loss: 3.2252, Validation Loss: 3.0070381165
Epoch [21/100], Loss: 3.2252, Validation Loss: 3.0070376396
Epoch [22/100], Loss: 3.2252, Validation Loss: 3.0070378780
Epoch [23/100], Loss: 3.2252, Validation Loss: 3.0070378780
Epoch [24/100], Loss: 3.2252, Validation Loss: 3.0070378780
Epoch [25/100], Loss: 3.2252, Validation Loss: 3.0070378780
Epoch [26/100], Loss: 3.2252, Validation Loss: 3.0070378780
Early stopping

Accuratezza finale del modello con i migliori parametri: 0.5625
